Streets of New Capenna,Modern/SNC,SNC
Kamigawa: Neon Dynasty,Modern/NEO,NEO
Innistrad: Crimson Vow,Modern/VOW,VOW
Innistrad: Midnight Hunt,Modern/MID,MID
Adventures in the Forgotten Realms,Modern/AFR,AFR
Strixhaven: School of Mages,Modern/STX,STX
Kaldheim,Modern/KHM,KHM
Zendikar Rising,Modern/ZNR,ZNR
Core Set 2021,Modern/M21,M21
Ikoria: Lair of Behemoths,Modern/IKO,IKO
Theros Beyond Death,Modern/THB,THB
Throne of Eldraine,Modern/ELD,ELD
Core Set 2020,Modern/M20,M20
War of the Spark,Modern/WAR,WAR
Ravnica Allegiance,Modern/RNA,RNA
Guilds of Ravnica,Modern/GRN,GRN
Core Set 2019,Modern/M19,M19
Dominaria,Modern/DOM,DOM
Rivals of Ixalan,Modern/RIX,RIX
Ixalan,Modern/XLN,XLN
Hour of Devastation,Modern/HOU,HOU
Amonkhet,Modern/AKH,AKH
Aether Revolt,Modern/AER,AER
Kaladesh,Modern/KLD,KLD
Eldritch Moon,Modern/EMN,EMN
Shadows over Innistrad,Modern/SOI,SOI
Oath of the Gatewatch,Modern/OGW,OGW
Battle for Zendikar,Modern/BFZ,BFZ
Magic Origins,Modern/ORI,ORI
Dragons of Tarkir,Modern/DTK,DTK
Fate Reforged,Modern/FRF,FRF
Khans of Tarkir,Modern/KTK,KTK
Magic 2015,Modern/M15,M15
Journey into Nyx,Modern/JOU,JOU
Born of the Gods,Modern/BNG,BNG
Theros,Modern/THS,THS
Magic 2014,Modern/M14,M14
Dragon's Maze,Modern/DGM,DGM
Gatecrash,Modern/GTC,GTC
Return to Ravnica,Modern/RTR,RTR
Magic 2013,Modern/M13,M13
Avacyn Restored,Modern/AVR,AVR
Dark Ascension,Modern/DKA,DKA
Innistrad,Modern/ISD,ISD
Magic 2012,Modern/M12,M12
New Phyrexia,Modern/NPH,NPH
Mirrodin Besieged,Modern/MBS,MBS
Scars of Mirrodin,Modern/SOM,SOM
Magic 2011,Modern/M11,M11
Rise of the Eldrazi,Modern/ROE,ROE
Worldwake,Modern/WWK,WWK
Zendikar,Modern/ZEN,ZEN
Magic 2010,Modern/M10,M10
Alara Reborn,Modern/ARB,ARB
Conflux,Modern/CFX,CFX
Shards of Alara,Modern/ALA,ALA
Eventide,Modern/EVE,EVE
Shadowmoor,Modern/SHM,SHM
Morningtide,Modern/MOR,MOR
Lorwyn,Modern/LRW,LRW
Tenth Edition,Modern/10E,10E
Future Sight,Modern/FUT,FUT
Planar Chaos,Modern/PLC,PLC
Time Spiral,Modern/TSP,TSP
Time Spiral Timeshifted,Modern/TSB,TSB
Coldsnap,Modern/CSP,CSP
Dissension,Modern/DIS,DIS
Guildpact,Modern/GPT,GPT
Ravnica: City of Guilds,Modern/RAV,RAV
Ninth Edition,Modern/9ED,9ED
Saviors of Kamigawa,Modern/SOK,SOK
Betrayers of Kamigawa,Modern/BOK,BOK
Champions of Kamigawa,Modern/CHK,CHK
Fifth Dawn,Modern/5DN,5DN
Darksteel,Modern/DST,DST
Mirrodin,Modern/MRD,MRD
Eighth Edition,Modern/8ED,8ED

Scourge,Ancient/SCG,SCG
Legions,Ancient/LGN,LGN
Onslaught,Ancient/ONS,ONS
Judgment,Ancient/JUD,JUD
Torment,Ancient/TOR,TOR
Odyssey,Ancient/ODY,ODY
Apocalypse,Ancient/APC,APC
Seventh Edition,Ancient/7ED,7ED
Planeshift,Ancient/PLS,PLS
Invasion,Ancient/INV,INV
Prophecy,Ancient/PCY,PCY
Nemesis,Ancient/NEM,NEM
